Model,Class_ID,Class_Name,Precision,Recall,mAP50,mAP50-95
RTDETR_L_150epochs,0,adzuki_bean,0.960481106139508,0.8439148061727872,0.8521623570223715,0.5395626168115397
YOLO26s_150epochs,0,adzuki_bean,0.9548838208620112,0.8333333333333334,0.8711517595392106,0.5375854772558223
RTDETR_L_150epochs,1,allspice,0.9934808399690136,0.9627329192546584,0.9649358974358974,0.7443083544043149
YOLO26s_150epochs,1,allspice,0.9736392718199356,0.9176530540545974,0.9341545435378453,0.7539799153662448
RTDETR_L_150epochs,2,amaranth,0.9987178500391317,0.9178082191780822,0.915,0.7233757631635243
YOLO26s_150epochs,2,amaranth,0.9698186832742862,0.8803712389783701,0.8941739774410391,0.730810287698854
RTDETR_L_150epochs,3,anchovy,0.9830149317613615,0.9375,0.9447841726618705,0.6954521269665409
YOLO26s_150epochs,3,anchovy,0.9578360938471837,0.9097222222222222,0.9317996982633302,0.662316580220593
RTDETR_L_150epochs,4,apple,0.9979140968065836,0.935251798561151,0.935,0.7081433561186381
YOLO26s_150epochs,4,apple,0.9436422304202616,0.8992805755395683,0.9314559345845673,0.7392250062934739
RTDETR_L_150epochs,5,apricot,0.9986201882316921,0.8680555555555556,0.8842424242424243,0.6613528124800785
YOLO26s_150epochs,5,apricot,0.9454934305575953,0.8432415926260058,0.8532422440238865,0.5901088571482271
RTDETR_L_150epochs,6,artichoke,0.988476398796609,0.927007299270073,0.934768028846154,0.7472570411101289
YOLO26s_150epochs,6,artichoke,0.9839577685760951,0.8954212150710731,0.9136436073012131,0.7528398456316647
RTDETR_L_150epochs,7,artichoke_heart,0.9832109111901357,0.935251798561151,0.93461592670895,0.7540445277502394
YOLO26s_150epochs,7,artichoke_heart,0.9768293504039348,0.9098997752373804,0.923950226244344,0.7709220402005605
RTDETR_L_150epochs,8,arugula,0.9936222516901047,0.8571428571428571,0.890148740108602,0.6527603567993611
YOLO26s_150epochs,8,arugula,0.967746713507794,0.8571428571428571,0.8547560975609756,0.6616396676442483
RTDETR_L_150epochs,9,asparagus,0.9651991611403454,0.8920863309352518,0.8943573988735279,0.6306520815630484
YOLO26s_150epochs,9,asparagus,0.9387396293978982,0.8561151079136691,0.8898567390589163,0.6008419330919087
RTDETR_L_150epochs,10,avocado,0.9924654322223653,0.961482686830982,0.9649248120300752,0.7532304673681457
YOLO26s_150epochs,10,avocado,0.9689064366330489,0.9098231417607724,0.9335574099842276,0.7225737572193147
RTDETR_L_150epochs,11,avocado_oil,0.9920389285236163,0.9299486884101176,0.9347619047619049,0.7173826113723891
YOLO26s_150epochs,11,avocado_oil,0.9833920927724237,0.8837805487148925,0.8941798319327732,0.7001470694801825
RTDETR_L_150epochs,12,bacon,0.9794442614022274,0.9788732394366197,0.9845238095238095,0.7815831685506307
YOLO26s_150epochs,12,bacon,0.9768617945693465,0.9647887323943662,0.9738163523235465,0.8107137323973452
RTDETR_L_150epochs,13,baked_bean,0.9656758884991795,0.9635048760652477,0.9638662777630356,0.7424820540914827
YOLO26s_150epochs,13,baked_bean,0.964303804363694,0.92514670977989,0.9516391360962677,0.732076949875258
RTDETR_L_150epochs,14,bamboo_shoot,1.0,0.9471905442972284,0.9550000000000001,0.6936494096779222
YOLO26s_150epochs,14,bamboo_shoot,0.992714511115775,0.9145003164754605,0.9342353182196428,0.6849849401799858
RTDETR_L_150epochs,15,banana,0.9990449580519748,0.8962962962962963,0.9049186991869919,0.6271450968070211
YOLO26s_150epochs,15,banana,0.9546723452477419,0.8518518518518519,0.8822654678382389,0.6004687494109566
