==========================================
   DATASET CLASS DISTRIBUTION REPORT
==========================================

--- SPLIT: TRAIN ---
Tổng số ảnh: 25000
Tổng số vật thể (instances): 165876
ID    | Class Name                | Count   
---------------------------------------------
0     | adzuki_bean               | 659     
1     | allspice                  | 701     
2     | amaranth                  | 689     
3     | anchovy                   | 710     
4     | apple                     | 685     
5     | apricot                   | 681     
6     | artichoke                 | 691     
7     | artichoke_heart           | 673     
8     | arugula                   | 729     
9     | asparagus                 | 709     
10    | avocado                   | 683     
11    | avocado_oil               | 690     
12    | bacon                     | 682     
13    | baked_bean                | 683     
14    | bamboo_shoot              | 700     
15    | banana                    | 695     
16    | barley                    | 692     
17    | beef                      | 664     
18    | beet                      | 692     
19    | bergamot                  | 687     
20    | bison                     | 719     
21    | black_bean                | 719     
22    | black_cherry              | 687     
23    | black_sapote              | 708     
24    | blackberry                | 666     
25    | blueberry                 | 695     
26    | bok_choy                  | 676     
27    | boysenberry               | 683     
28    | bread                     | 700     
29    | breadfruit                | 700     
30    | broccoli                  | 696     
31    | broccoli_stem             | 714     
32    | brussels_sprout           | 685     
33    | buckwheat                 | 686     
34    | buffalo                   | 718     
35    | bulgur                    | 674     
36    | butter                    | 685     
37    | cabbage                   | 690     
38    | cannellini_bean           | 697     
39    | canola_oil                | 661     
40    | caper                     | 687     
41    | cardamom                  | 690     
42    | caribou                   | 678     
43    | carrot                    | 715     
44    | cauliflower               | 676     
45    | celeriac                  | 707     
46    | celery                    | 703     
47    | chard_stalk               | 667     
48    | cheese                    | 688     
49    | cherimoya                 | 671     
50    | cherry                    | 726     
51    | chia                      | 694     
52    | chicken                   | 699     
53    | chicken_breast            | 696     
54    | chicken_thigh             | 699     
55    | chickpea                  | 695     
56    | chili_pepper              | 695     
57    | chili_sauce               | 721     
58    | chive                     | 706     
59    | cinnamon                  | 658     
60    | clam                      | 689     
61    | clove                     | 688     
62    | coconut                   | 703     
63    | coconut_oil               | 688     
64    | cod                       | 702     
65    | coffee                    | 665     
66    | collard_green             | 712     
67    | coriander                 | 675     
