Scanning 25000 label files...
ID    | Class Name                | Count     
---------------------------------------------
110   | grouse                    | 767
214   | soybean                   | 747
44    | cauliflower               | 746
37    | cabbage                   | 746
239   | wild_boar                 | 745
226   | tangerine                 | 744
100   | garlic_bulb               | 742
75    | cucumber                  | 741
21    | black_bean                | 741
29    | breadfruit                | 740
81    | dumpling_wrapper          | 739
17    | beef                      | 738
225   | swiss_chard               | 737
70    | cornmeal                  | 736
235   | venison                   | 736
127   | lemon                     | 735
91    | fennel                    | 735
208   | sesame_oil                | 734
88    | farfalle                  | 734
122   | kohlrabi                  | 734
55    | chickpea                  | 733
103   | goat                      | 733
195   | romaine                   | 732
87    | emmer                     | 732
84    | einkorn                   | 732
26    | bok_choy                  | 732
47    | chard_stalk               | 732
134   | lobster                   | 732
186   | rabbit                    | 731
161   | partridge                 | 731
131   | lima_bean                 | 731
143   | mung_bean                 | 731
233   | turnip                    | 731
54    | chicken_thigh             | 730
213   | soursop                   | 730
197   | rutabaga                  | 729
229   | trout                     | 729
61    | clove                     | 729
35    | bulgur                    | 729
80    | duck                      | 728
150   | oat                       | 728
216   | spelt                     | 728
62    | coconut                   | 727
40    | caper                     | 727
228   | tomato                    | 727
65    | coffee                    | 727
63    | coconut_oil               | 726
130   | lettuce                   | 726
105   | goose                     | 726
173   | pheasant                  | 726
99    | garlic                    | 725
203   | sardine                   | 725
205   | savoy_cabbage             | 725
15    | banana                    | 725
33    | buckwheat                 | 725
46    | celery                    | 724
221   | sugar                     | 724
128   | lemongrass                | 724
149   | nutmeg                    | 724
28    | bread                     | 724
224   | sweet_potato              | 724
102   | glass_noodle              | 724
22    | black_cherry              | 723
163   | pasta                     | 723
0     | adzuki_bean               | 723
156   | ostrich                   | 723
27    | boysenberry               | 722
139   | mango                     | 722
6     | artichoke                 | 721
148   | nectarine                 | 720
141   | millet                    | 720
14    | bamboo_shoot              | 720
120   | kidney_bean               | 720
16    | barley                    | 720
48    | cheese                    | 720
202   | sapote                    | 720
223   | sunflower_oil             | 719
104   | goji_berry                | 719
174   | pickle                    | 719
155   | orange                    | 719
194   | rigatoni                  | 719
212   | sour_cherry               | 719
192   | rhubarb                   | 718
111   | guava                     | 718
170   | penne                     | 718
30    | broccoli                  | 718
118   | kale                      | 717
71    | couscous                  | 717
59    | cinnamon                  | 717
201   | santol                    | 717
219   | squirrel                  | 717
179   | polenta                   | 716
66    | collard_green             | 716
23    | black_sapote              | 716
109   | green_onion               | 715
49    | cherimoya                 | 715
132   | lime                      | 715
153   | olives                    | 715
238   | white_peach               | 715
157   | oyster                    | 715
126   | leek                      | 714
211   | sorghum                   | 713
187   | radicchio                 | 713
72    | crab                      | 713
20    | bison                     | 713
67    | coriander                 | 713
227   | teff                      | 713
106   | grapefruit                | 713
58    | chive                     | 713
38    | cannellini_bean           | 712
60    | clam                      | 712       
42    | caribou                   | 712
140   | milk                      | 712
114   | ham                       | 712
94    | flaxseed_oil              | 712
4     | apple                     | 712
160   | parsnip                   | 711
74    | cranberry                 | 711
13    | baked_bean                | 711
93    | fish_sauce                | 711
32    | brussels_sprout           | 711
129   | lentils                   | 710
107   | grapeseed_oil             | 710
164   | pasta_sauce               | 710
184   | quail                     | 710
92    | fettuccine                | 710
206   | scallop                   | 709
204   | sausage                   | 709
142   | mulberry                  | 709
68    | corn                      | 709
146   | mutton                    | 709
115   | horseradish               | 709
36    | butter                    | 708
176   | pinto_bean                | 708
133   | linguine                  | 708
215   | spaghetti                 | 708
12    | bacon                     | 708
185   | quinoa                    | 708
231   | turkey                    | 707
217   | spinach                   | 707
191   | refried_bean              | 707
64    | cod                       | 707
1     | allspice                  | 707
25    | blueberry                 | 707
86    | elk                       | 707
209   | shallot                   | 707
10    | avocado                   | 707
69    | corn_grit                 | 706
193   | rice                      | 706
177   | plum                      | 706
39    | canola_oil                | 706
178   | pluot                     | 706
56    | chili_pepper              | 705
121   | kiwi                      | 705
108   | green_bean                | 705
218   | squab                     | 705
159   | paprika                   | 705
116   | huckleberry               | 704
5     | apricot                   | 704
222   | sun_dried_tomato          | 704
52    | chicken                   | 704
119   | kamut                     | 704
199   | salsa                     | 704
43    | carrot                    | 704
82    | durian                    | 703
154   | onion                     | 703
78    | deer                      | 703
98    | fusilli                   | 703
175   | pineapple                 | 703
135   | lychee                    | 702       
144   | mushroom                  | 702
196   | rotini                    | 702
95    | flour                     | 702
50    | cherry                    | 702
77    | daikon                    | 702
76    | cumin                     | 701
112   | guinea_fowl               | 701
182   | potato                    | 701
207   | semolina                  | 701
137   | mackerel                  | 701
96    | freekeh                   | 701
51    | chia                      | 700
89    | farro                     | 700
183   | pumpkin                   | 700
41    | cardamom                  | 700
18    | beet                      | 700
145   | mustard_green             | 700
138   | mandarin                  | 700
31    | broccoli_stem             | 699
8     | arugula                   | 699
79    | dragon_fruit              | 699
152   | olive_oil                 | 699
190   | raspberry                 | 699
101   | ginger                    | 699
180   | pomelo                    | 699
198   | salmon                    | 699
117   | jackfruit                 | 698
2     | amaranth                  | 698
165   | pawpaw                    | 697
83    | egg                       | 697
57    | chili_sauce               | 697
11    | avocado_oil               | 696
236   | watercress                | 696
172   | pesto                     | 696
181   | pork                      | 696
113   | haddock                   | 696
220   | strawberry                | 696
19    | bergamot                  | 695
125   | lasagna                   | 695
45    | celeriac                  | 694
7     | artichoke_heart           | 694
123   | kumquat                   | 694
151   | octopus                   | 694
34    | buffalo                   | 694
124   | lamb                      | 692
158   | papaya                    | 692
188   | radish                    | 691
85    | elderberry                | 690
167   | peanut_oil                | 690
90    | fava_bean                 | 690
168   | pear                      | 690
232   | turmeric                  | 689
189   | ramp                      | 689
53    | chicken_breast            | 688
162   | passion_fruit             | 686
3     | anchovy                   | 685
230   | tuna                      | 684
210   | shrimp                    | 684
97    | fruit_cocktail            | 684
169   | peas                      | 683
234   | vegetable_oil             | 682
136   | macaroni                  | 682
24    | blackberry                | 681
240   | yuzu                      | 680
166   | peach                     | 680
73    | cracked_wheat             | 676
147   | navy_bean                 | 675
200   | salt                      | 672
171   | pepper                    | 671
9     | asparagus                 | 670
237   | wheat_bran                | 666
