class_id,class_name,instances,images_containing_class
126,grapefruit,343,343
31,black_lentils,342,342
78,coconut,339,339
105,elk,338,338
150,lamb,336,336
8,apricot,332,332
43,brown_lentils,331,331
252,self-rising_flour,330,330
0,adzuki_beans,329,329
19,barley,328,328
170,mulberry,327,327
29,black_beans,327,327
239,romaine,325,325
241,rutabaga,325,325
62,celeriac,324,324
250,scallion,323,323
162,lychee,323,323
36,blueberry,323,323
88,couscous,322,322
247,sapote,322,322
177,nectarine,321,321
38,boysenberry,321,321
296,trout,320,320
157,ligurian_olives,320,320
233,raspberry,320,320
156,lettuce,320,320
228,rabbit,319,319
174,mustard_greens,319,319
136,guinea_fowl,319,319
225,pumpkin,319,319
303,venison,317,317
270,spring_onion,317,317
32,black_olives,317,317
146,kiwi,317,317
301,turnip,317,317
273,sprouted_chickpeas,317,317
67,cherimoya,317,317
199,peaches,316,316
144,kamut,315,315
12,arugula,314,314
51,cane_sugar,314,314
224,powdered_sugar,314,314
197,pawpaw,313,313
298,turbinado_sugar,313,313
254,sesame_oil,313,313
70,chia,312,312
68,cherries,312,312
111,fettuccine,312,312
42,broccoli_stem,311,311
117,fusilli,311,311
90,cracked_wheat,311,311
3,almond_flour,311,311
269,split_peas,311,311
272,sprouted_black_beans,310,310
64,celtic_salt,310,310
226,quail,309,309
192,parsnip,309,309
218,pluot,309,309
49,cabbage,308,308
14,avocado,308,308
188,ostrich,308,308
148,kosher_salt,308,308
145,kidney_beans,308,308
262,soursop,307,307
281,squab,307,307
210,pickles,307,307
240,rotini,307,307
307,white_flour,307,307
159,lime,306,306
109,fava_beans,306,306
71,chicken,306,306
236,rhubarb,306,306
118,gaeta_olives,306,306
163,macaroni,305,305
108,farro,305,305
302,vegetable_oil,305,305
34,black_sapote,304,304
299,turkey,304,304
142,kalamata_olives,304,304
242,rye_flour,304,304
194,passion_fruit,304,304
316,yuzu,303,303
211,pickling_salt,303,303
217,plum,303,303
183,olive_oil,303,303
169,millet,303,303
77,clove,303,303
11,artichokes,302,302
244,salsa,302,302
100,durian,302,302
178,nicoise_olives,302,302
266,spanish_pardina_lentils,302,302
179,nutmeg,302,302
204,peas,302,302
98,dragon_fruit,302,302
65,cerignola_olives,302,302
143,kale,302,302
44,brown_sugar,302,302
208,pheasant,301,301
69,cherry,301,301
137,haddock,300,300
259,snow_peas,300,300
