class_id,class_name,instances,images_containing_class
34,buffalo,1189,1189
193,rhubarb,1185,1185
103,glass_noodle,1178,1178
175,pickle,1174,1174
138,mackerel,1172,1172
233,turmeric,1169,1169
169,pear,1163,1163
17,beef,1162,1162
83,egg,1158,1158
73,cracked_wheat,1155,1155
191,raspberry,1153,1153
10,avocado,1152,1152
148,navy_bean,1151,1151
230,trout,1151,1151
60,clam,1151,1151
86,elk,1148,1148
62,coconut,1148,1148
22,black_cherry,1147,1147
125,lamb,1147,1147
104,goat,1145,1145
155,onion,1144,1144
181,pomelo,1144,1144
134,linguine,1141,1141
106,goose,1141,1141
115,ham,1139,1139
50,cherry,1139,1139
192,refried_bean,1139,1139
196,romaine,1138,1138
66,collard_green,1137,1137
80,duck,1137,1137
224,sunflower_oil,1136,1136
128,lemon,1135,1135
182,pork,1135,1135
36,butter,1135,1135
211,shrimp,1133,1133
85,elderberry,1132,1132
76,cumin,1132,1132
178,plum,1131,1131
90,fava_bean,1131,1131
179,pluot,1130,1130
89,farro,1130,1130
82,durian,1129,1129
140,mango,1129,1129
164,pasta,1128,1128
14,bamboo_shoot,1128,1128
162,partridge,1127,1127
32,brussels_sprout,1125,1125
241,yuzu,1125,1125
166,pawpaw,1125,1125
110,green_onion,1125,1125
170,peas,1125,1125
27,boysenberry,1125,1125
26,bok_choy,1124,1124
161,parsnip,1124,1124
176,pineapple,1124,1124
141,milk,1124,1124
160,paprika,1123,1123
35,bulgur,1123,1123
126,lasagna,1123,1123
101,garlic_bulb,1122,1122
40,caper,1121,1121
199,salmon,1121,1121
127,leek,1121,1121
200,salsa,1119,1119
112,guava,1119,1119
4,apple,1118,1118
213,sour_cherry,1118,1118
28,bread,1118,1118
64,cod,1118,1118
202,santol,1117,1117
108,grapeseed_oil,1116,1116
216,spaghetti,1116,1116
221,strawberry,1116,1116
20,bison,1115,1115
143,mulberry,1115,1115
24,blackberry,1115,1115
120,kamut,1115,1115
98,fruit_cocktail,1115,1115
65,coffee,1114,1114
87,emmer,1114,1114
207,scallop,1113,1113
75,cucumber,1113,1113
186,quinoa,1113,1113
84,einkorn,1112,1112
13,baked_bean,1112,1112
29,breadfruit,1112,1112
232,turkey,1112,1112
92,fettuccine,1111,1111
190,ramp,1111,1111
8,arugula,1111,1111
94,flaky_salt,1111,1111
240,wild_boar,1110,1110
180,polenta,1110,1110
5,apricot,1110,1110
189,radish,1110,1110
105,goji_berry,1110,1110
150,nutmeg,1109,1109
37,cabbage,1108,1108
15,banana,1108,1108
142,millet,1108,1108
54,chicken_thigh,1107,1107
48,cheese,1107,1107
56,chili_pepper,1107,1107
226,swiss_chard,1107,1107
135,lobster,1107,1107
55,chickpea,1106,1106
81,dumpling_wrapper,1106,1106
153,olive_oil,1106,1106
12,bacon,1106,1106
49,cherimoya,1105,1105
47,chard_stalk,1105,1105
68,corn,1104,1104
118,jackfruit,1103,1103
203,sapote,1103,1103
156,orange,1103,1103
183,potato,1101,1101
235,vegetable_oil,1101,1101
214,soursop,1101,1101
215,soybean,1101,1101
173,pesto,1101,1101
7,artichoke_heart,1100,1100
133,lime,1100,1100
