epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,93.5115,1.28139,3.82252,1.44999,0.58563,0.48042,0.52113,0.39584,1.09573,1.80393,1.35874,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667
2,176.209,1.19806,1.9476,1.33369,0.70898,0.60311,0.68949,0.52335,1.0387,1.36411,1.2838,0.0197822,0.00659407,0.0197822,0.00659407,0.0197822,0.00659407,0.0197822,0.00659407
3,256.456,1.1787,1.72637,1.30999,0.70161,0.58282,0.67508,0.49576,1.08268,1.39669,1.29603,0.0293864,0.00979547,0.0293864,0.00979547,0.0293864,0.00979547,0.0293864,0.00979547
4,335.719,1.19792,1.71445,1.31253,0.69851,0.63114,0.70973,0.51907,1.08046,1.31835,1.2958,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,414.407,1.17825,1.62432,1.30283,0.73047,0.64698,0.74204,0.5489,1.06385,1.20431,1.27369,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,492.408,1.13725,1.5056,1.26713,0.73503,0.68582,0.76208,0.5604,1.04306,1.13605,1.27239,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,570.682,1.11435,1.44953,1.25774,0.7352,0.69459,0.77472,0.57856,1.01839,1.08851,1.24338,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,649.54,1.09353,1.38762,1.24556,0.7934,0.68946,0.79699,0.60109,1.00223,1.04844,1.23889,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,728.257,1.07006,1.34457,1.23017,0.7885,0.69428,0.79514,0.60534,0.98723,1.03073,1.23557,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,806.569,1.05279,1.29783,1.22185,0.8029,0.72452,0.81233,0.61573,0.97441,0.96788,1.21572,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,884.883,1.03139,1.25626,1.205,0.80271,0.71878,0.82083,0.63013,0.94943,0.94343,1.20225,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,963.348,1.0157,1.23772,1.1958,0.79102,0.7344,0.82812,0.63427,0.946,0.93943,1.19301,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1042.6,1.0015,1.2134,1.1898,0.77253,0.7732,0.8342,0.64616,0.92358,0.9151,1.18279,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1121.29,0.99327,1.19107,1.18175,0.79676,0.76501,0.8429,0.64977,0.92149,0.88404,1.19021,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1199.46,0.97262,1.15594,1.17171,0.78647,0.7877,0.84826,0.66129,0.90556,0.86949,1.16692,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1278.01,0.97112,1.15603,1.17135,0.82242,0.77034,0.85004,0.66474,0.89339,0.84514,1.15922,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1357.02,0.95067,1.13188,1.16077,0.80955,0.78835,0.8588,0.67143,0.88282,0.83425,1.1529,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1435.8,0.94707,1.10646,1.15558,0.81392,0.78239,0.85852,0.67586,0.86678,0.83073,1.14583,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
