epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,91.5398,1.28899,3.73937,1.45478,0.64181,0.45049,0.52298,0.39817,1.08742,1.75359,1.35544,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667
2,173.459,1.19666,1.88666,1.32592,0.71425,0.59487,0.68942,0.52371,1.02941,1.32995,1.27219,0.0197822,0.00659407,0.0197822,0.00659407,0.0197822,0.00659407,0.0197822,0.00659407
3,254.004,1.17733,1.68322,1.30393,0.6985,0.58352,0.68802,0.50473,1.08455,1.38013,1.30278,0.0293864,0.00979547,0.0293864,0.00979547,0.0293864,0.00979547,0.0293864,0.00979547
4,332.021,1.19233,1.66351,1.3011,0.71998,0.6078,0.7119,0.52516,1.0774,1.28334,1.28529,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,409.36,1.17549,1.57438,1.29156,0.70587,0.66614,0.74567,0.55289,1.05796,1.1722,1.27043,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,486.584,1.13617,1.46983,1.26221,0.74902,0.6686,0.76807,0.57285,1.03477,1.12259,1.25738,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,563.838,1.10965,1.40902,1.24999,0.78058,0.68129,0.78729,0.59024,1.01804,1.04833,1.24284,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,641.967,1.09537,1.36024,1.24049,0.79484,0.69584,0.80578,0.60288,1.00319,1.02417,1.23825,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,719.505,1.0729,1.31433,1.22605,0.79383,0.71207,0.80536,0.61005,0.98999,0.99084,1.22129,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,796.659,1.056,1.26947,1.21781,0.78926,0.72661,0.8107,0.61478,0.98228,0.95975,1.21879,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,873.639,1.03498,1.22954,1.20144,0.82147,0.72338,0.82932,0.63174,0.9595,0.93231,1.20294,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,951.096,1.01965,1.20993,1.19445,0.79573,0.74602,0.83446,0.63781,0.9528,0.90514,1.19527,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1028.36,1.00529,1.18586,1.18684,0.81973,0.75768,0.8495,0.65663,0.92857,0.88789,1.18642,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1105.54,0.99577,1.1646,1.18046,0.80238,0.76619,0.84809,0.65805,0.91925,0.85591,1.18513,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1182.27,0.97133,1.13172,1.16755,0.84262,0.75322,0.85038,0.66508,0.89339,0.84555,1.15849,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1258.87,0.97299,1.13471,1.16849,0.81809,0.78104,0.85835,0.66571,0.90198,0.8301,1.16757,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1336.92,0.95255,1.10736,1.15676,0.84957,0.75276,0.86805,0.67759,0.8842,0.80296,1.15211,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1414.4,0.94355,1.08861,1.15055,0.83702,0.76436,0.85853,0.68108,0.86859,0.81425,1.14818,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1491.24,0.93304,1.07599,1.14797,0.81513,0.80396,0.87596,0.69079,0.86684,0.78345,1.14955,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
