epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,134.109,1.80034,4.69497,2.03334,0.41432,0.11899,0.08271,0.03754,1.92575,3.66963,2.37027,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667
2,255.005,1.69654,3.83929,1.94429,0.27732,0.14978,0.09976,0.04527,1.93312,3.65027,2.33959,0.0197822,0.00659407,0.0197822,0.00659407,0.0197822,0.00659407,0.0197822,0.00659407
3,369.782,1.70538,3.82368,1.96892,0.28092,0.157,0.08654,0.03741,1.99749,3.8049,2.41907,0.0293864,0.00979547,0.0293864,0.00979547,0.0293864,0.00979547,0.0293864,0.00979547
4,488.225,1.70893,3.8275,1.98221,0.31084,0.16827,0.12725,0.06025,1.90025,3.45866,2.3414,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,606.093,1.6762,3.63164,1.94995,0.26737,0.23551,0.1748,0.08518,1.86023,3.12128,2.2607,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,716.912,1.64333,3.45114,1.91692,0.27237,0.22996,0.17631,0.09033,1.81417,3.21801,2.21516,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,825.805,1.61389,3.32576,1.89999,0.37324,0.28155,0.26907,0.14194,1.73065,2.83696,2.17182,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,936.726,1.59822,3.18226,1.87805,0.37287,0.27072,0.26676,0.13978,1.71724,2.83433,2.163,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1046.47,1.58039,3.08325,1.86899,0.40234,0.32768,0.3302,0.17555,1.70511,2.64175,2.16934,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1155.4,1.55336,2.98706,1.84631,0.36597,0.32159,0.30887,0.16719,1.71062,2.70444,2.1766,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
