epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,134.856,1.68665,4.38082,1.65689,0.44859,0.16771,0.12305,0.06647,1.64189,3.06516,1.73018,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667,0.00998,0.00332667
2,255.197,1.57672,3.22061,1.56665,0.34176,0.20376,0.14671,0.07744,1.6839,3.02637,1.78746,0.0197822,0.00659407,0.0197822,0.00659407,0.0197822,0.00659407,0.0197822,0.00659407
3,382.308,1.61263,3.13449,1.60416,0.33074,0.15952,0.09706,0.05119,1.86902,3.58862,2.0207,0.0293864,0.00979547,0.0293864,0.00979547,0.0293864,0.00979547,0.0293864,0.00979547
4,502.183,1.63074,3.127,1.62223,0.36613,0.21371,0.16049,0.08504,1.69959,3.00509,1.79784,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,614.754,1.589,2.92045,1.60068,0.34109,0.26403,0.21471,0.11819,1.63745,2.68692,1.75053,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,724.87,1.53753,2.73853,1.5658,0.3514,0.31825,0.28211,0.16661,1.53617,2.43973,1.67684,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,835.359,1.50545,2.59983,1.55089,0.33859,0.11198,0.09347,0.04309,2.42801,4.35916,2.94614,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,947.393,1.48015,2.48029,1.52878,0.3992,0.35684,0.35139,0.21549,1.45698,2.23038,1.60186,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1057.91,1.45416,2.36355,1.51294,0.47103,0.39011,0.43339,0.27011,1.39085,1.95393,1.54448,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1168.46,1.42778,2.26405,1.4977,0.47514,0.41407,0.44324,0.27579,1.40092,1.91922,1.5553,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1278.28,1.39902,2.1578,1.47934,0.54579,0.45365,0.50446,0.32379,1.35647,1.77826,1.52487,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1389.95,1.37928,2.08839,1.46739,0.54739,0.4613,0.5247,0.33249,1.3698,1.7343,1.54006,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1501.77,1.3576,2.01265,1.45762,0.53206,0.48536,0.5383,0.3464,1.33051,1.69556,1.53281,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1612.22,1.33461,1.9513,1.43567,0.53722,0.51035,0.55036,0.36121,1.30245,1.63539,1.5093,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1730.08,1.308,1.87496,1.42278,0.56895,0.5562,0.61092,0.40827,1.25351,1.4828,1.4701,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1840.52,1.29361,1.83576,1.41022,0.59815,0.54452,0.61412,0.41068,1.24747,1.46733,1.45412,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1951.76,1.2667,1.77513,1.39623,0.63449,0.57014,0.65013,0.44018,1.21595,1.39735,1.42601,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2060.4,1.24515,1.71107,1.37815,0.61271,0.54182,0.6113,0.40049,1.31991,1.51253,1.52902,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2170.5,1.22609,1.67146,1.36903,0.655,0.60381,0.6872,0.47525,1.17763,1.28608,1.40385,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2279.44,1.20169,1.61818,1.353,0.69539,0.6114,0.70788,0.49708,1.13639,1.22392,1.37695,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2388.99,1.1853,1.57731,1.34779,0.70134,0.63579,0.72445,0.50977,1.1289,1.21203,1.37118,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2521.18,1.16428,1.53215,1.32383,0.69527,0.65331,0.7372,0.52254,1.1009,1.15631,1.34376,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2648.19,1.14418,1.48565,1.31353,0.70636,0.6618,0.75173,0.53591,1.08531,1.13862,1.33971,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2761.44,1.12979,1.46751,1.30748,0.73156,0.68699,0.77766,0.56762,1.0262,1.05769,1.2974,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2873.19,1.11631,1.4275,1.29181,0.74476,0.69713,0.78716,0.56953,1.03795,1.03981,1.30335,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2985.61,1.09824,1.40095,1.28107,0.7671,0.69012,0.78562,0.57903,1.01088,1.0193,1.28697,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,3117.07,1.08598,1.3712,1.27555,0.75561,0.70966,0.79828,0.59121,0.98948,0.98892,1.27473,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,3259.69,1.06657,1.34381,1.2653,0.77442,0.71642,0.79945,0.59636,0.9869,0.97241,1.26506,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,3395.41,1.04847,1.31926,1.25613,0.81135,0.72033,0.82341,0.61355,0.95679,0.91867,1.24672,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,3510.58,1.03624,1.29419,1.24757,0.8012,0.74791,0.83133,0.63013,0.9347,0.89439,1.23569,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3625.16,1.01402,1.25343,1.23185,0.80678,0.74334,0.83262,0.63596,0.91479,0.87346,1.21929,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,3743.1,1.00612,1.22787,1.22465,0.79553,0.73739,0.82638,0.62917,0.93318,0.87971,1.23249,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3854.71,0.98729,1.2154,1.21881,0.81963,0.75052,0.8433,0.64628,0.90114,0.85379,1.21715,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3966.85,0.97762,1.19304,1.21351,0.8075,0.77068,0.84377,0.64634,0.90854,0.85225,1.21888,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4081.57,0.96623,1.17671,1.1998,0.84249,0.77653,0.86968,0.67548,0.85755,0.78461,1.1862,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4196.63,0.95296,1.15241,1.19448,0.82556,0.79397,0.86853,0.67655,0.85191,0.77398,1.18058,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4311.25,0.94834,1.13622,1.19006,0.81097,0.80412,0.87041,0.68201,0.84882,0.77446,1.17534,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4426.37,0.93346,1.12421,1.18486,0.84636,0.79014,0.87176,0.69001,0.824,0.74595,1.16076,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4540.37,0.92284,1.11281,1.17674,0.85827,0.80608,0.88767,0.70716,0.80664,0.71152,1.14589,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4656.15,0.91162,1.09102,1.16974,0.86985,0.79032,0.88379,0.70905,0.79725,0.70839,1.14248,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4768.71,0.90388,1.07534,1.16493,0.85044,0.80023,0.88191,0.70627,0.79863,0.71645,1.14639,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4884.01,0.89215,1.05911,1.15775,0.85294,0.80549,0.88846,0.71421,0.7804,0.69475,1.13033,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4997.38,0.88428,1.05522,1.15514,0.85681,0.83115,0.89345,0.7201,0.77036,0.67892,1.13227,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5110.96,0.8759,1.03851,1.15142,0.87626,0.81304,0.89907,0.72775,0.76171,0.66346,1.1238,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5219.5,0.86509,1.01928,1.14597,0.86446,0.82669,0.90072,0.73343,0.74167,0.66154,1.10804,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5328.67,0.85216,1.00135,1.13573,0.86709,0.82536,0.89954,0.73175,0.74298,0.64903,1.11123,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5435.76,0.85113,0.99631,1.13632,0.87637,0.82046,0.89864,0.73818,0.72132,0.62945,1.09397,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5543.21,0.83728,0.97602,1.12823,0.89087,0.8186,0.9059,0.74778,0.70802,0.61672,1.08715,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5650.14,0.83468,0.97922,1.12916,0.90095,0.83371,0.91345,0.75857,0.70679,0.60549,1.08986,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5761.33,0.81623,0.95103,1.11563,0.89739,0.82336,0.90974,0.75255,0.70589,0.60677,1.08599,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5880.54,0.81398,0.9488,1.1168,0.88894,0.84922,0.91473,0.76324,0.68971,0.58536,1.07421,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5995.28,0.80004,0.92952,1.10602,0.88429,0.85989,0.92045,0.77121,0.6822,0.57653,1.07363,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6110.41,0.79796,0.93458,1.10752,0.87775,0.84838,0.9159,0.76421,0.6804,0.58153,1.07074,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6238.42,0.78964,0.91541,1.0987,0.8932,0.85103,0.9199,0.77245,0.66486,0.56539,1.06326,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6367.86,0.78107,0.90442,1.09601,0.90129,0.84093,0.91622,0.77156,0.66205,0.56746,1.06088,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6514.21,0.7701,0.88715,1.09333,0.90149,0.85369,0.92109,0.7787,0.64855,0.54963,1.05206,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6660.93,0.76497,0.87845,1.08744,0.90168,0.85541,0.9215,0.77963,0.64652,0.54569,1.05415,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6807.3,0.75532,0.87565,1.08032,0.8998,0.85307,0.92402,0.78513,0.63623,0.53973,1.04526,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6952.06,0.7507,0.86631,1.08101,0.90295,0.86001,0.92419,0.78762,0.63027,0.53397,1.04356,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7098.93,0.74754,0.84987,1.07481,0.90997,0.86439,0.92767,0.79203,0.62384,0.52336,1.0375,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,7229.84,0.7358,0.84225,1.07151,0.91132,0.87152,0.93224,0.79947,0.61028,0.51219,1.02662,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,7357.91,0.7304,0.83507,1.07062,0.91571,0.8624,0.93168,0.80045,0.60682,0.51072,1.02641,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7472.05,0.72294,0.83048,1.06292,0.91529,0.85764,0.93033,0.8027,0.60231,0.5094,1.0253,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7586.61,0.71843,0.8199,1.06141,0.91775,0.86221,0.93075,0.80393,0.59696,0.50738,1.02272,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7706.69,0.71102,0.80974,1.05948,0.8972,0.88124,0.93224,0.80508,0.59538,0.50274,1.02074,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7819.76,0.7023,0.80588,1.05204,0.88943,0.88473,0.93319,0.80762,0.58783,0.49622,1.01545,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7925.69,0.69651,0.79632,1.05187,0.91928,0.87349,0.93483,0.81258,0.57815,0.49122,1.00995,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,8033.42,0.69113,0.79312,1.04937,0.90434,0.88356,0.9367,0.81531,0.57253,0.48189,1.00799,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,8140.88,0.6884,0.78304,1.04475,0.89434,0.89184,0.93355,0.81508,0.56879,0.4761,1.00555,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,8251.42,0.68014,0.77191,1.04246,0.91594,0.87878,0.93706,0.81849,0.56475,0.46929,1.00374,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,8362.03,0.67006,0.76167,1.03703,0.92115,0.87442,0.93637,0.81974,0.55785,0.46927,0.99936,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8491.27,0.6698,0.76418,1.03956,0.92415,0.8778,0.9367,0.82276,0.5488,0.46415,0.99577,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8615.13,0.66569,0.75919,1.04061,0.93143,0.87165,0.93628,0.82411,0.54427,0.45976,0.99222,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,8731.55,0.65865,0.74014,1.03302,0.92705,0.87484,0.93652,0.82483,0.54379,0.45516,0.99292,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,8843.21,0.65362,0.74099,1.02874,0.92712,0.88295,0.93915,0.8278,0.54134,0.45269,0.99162,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,8966.9,0.64002,0.73085,1.02324,0.91056,0.89429,0.94032,0.83058,0.53394,0.44761,0.98703,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,9077.79,0.64219,0.73105,1.0248,0.91599,0.88926,0.93958,0.83225,0.53093,0.44678,0.98533,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,9191.55,0.63299,0.71871,1.02115,0.91736,0.88587,0.9395,0.83269,0.52897,0.44258,0.98383,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,9307.94,0.62664,0.70825,1.01743,0.93525,0.87611,0.94155,0.83395,0.52589,0.43974,0.98353,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,9417.15,0.6218,0.70317,1.01516,0.93947,0.87382,0.94162,0.8336,0.52468,0.43999,0.9837,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,9535.14,0.61605,0.69546,1.0118,0.92969,0.88256,0.94343,0.83703,0.5207,0.43652,0.98176,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9654.21,0.60922,0.6903,1.01001,0.92924,0.88496,0.94356,0.83936,0.51766,0.43435,0.9793,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,9766.1,0.60108,0.67349,1.00474,0.92866,0.88723,0.94397,0.84118,0.51387,0.43116,0.97616,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,9881.33,0.59923,0.67598,1.00584,0.92451,0.89294,0.94472,0.8436,0.51232,0.4279,0.9754,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,9998.31,0.59349,0.67416,1.00275,0.91656,0.90154,0.9451,0.84425,0.5073,0.42495,0.97247,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,10111.4,0.59016,0.66629,1.00178,0.90687,0.90315,0.94558,0.84689,0.50275,0.42115,0.96927,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,10223.3,0.58302,0.66522,0.9995,0.93684,0.885,0.94575,0.84865,0.50071,0.41976,0.96863,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,10345.1,0.57815,0.66043,0.99603,0.93121,0.89013,0.94564,0.84992,0.49787,0.41776,0.96809,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
