epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,117.405,1.65389,4.08125,1.91821,0.45914,0.18186,0.15435,0.07618,1.96014,3.15315,2.32005,0.00998084,0.00332695,0.00998084,0.00332695,0.00998084,0.00332695,0.00998084,0.00332695
2,217.044,1.61378,2.71898,1.80147,0.45064,0.20472,0.21217,0.10404,2.02808,2.90661,2.40333,0.019783,0.00659434,0.019783,0.00659434,0.019783,0.00659434,0.019783,0.00659434
3,313.129,1.66265,2.66883,1.84093,0.42094,0.15,0.12177,0.05547,2.09183,3.45249,2.44511,0.0293872,0.00979574,0.0293872,0.00979574,0.0293872,0.00979574,0.0293872,0.00979574
4,407.404,1.69206,2.73621,1.86467,0.42915,0.2448,0.22104,0.1021,2.03899,2.95055,2.35342,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,501.719,1.66781,2.51096,1.83764,0.46098,0.31579,0.28005,0.13302,1.99329,2.65479,2.34106,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,596.325,1.63409,2.31428,1.80397,0.43493,0.38954,0.36118,0.18412,1.97013,2.42162,2.31198,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,690.905,1.59458,2.14664,1.77769,0.42809,0.41658,0.38598,0.18949,1.95267,2.40522,2.29444,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,785.15,1.5715,2.03508,1.74013,0.52401,0.36054,0.40696,0.19544,1.9825,2.35947,2.27194,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,881.469,1.53563,1.92034,1.72208,0.54771,0.40245,0.42868,0.21881,1.91307,2.10288,2.22736,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,980.553,1.51164,1.82182,1.69709,0.50396,0.39803,0.43526,0.21477,1.92977,1.99914,2.24119,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1080.06,1.49595,1.73817,1.6777,0.48608,0.42504,0.41801,0.21334,1.918,2.08951,2.20635,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1182.91,1.47948,1.65994,1.65849,0.50676,0.42187,0.44033,0.23076,1.90678,2.09232,2.19401,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1283.18,1.44298,1.59768,1.63358,0.50296,0.44459,0.45605,0.23769,1.87104,1.9739,2.18266,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
