epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,133.573,1.63667,3.67811,1.86378,0.43388,0.23333,0.1892,0.09356,1.99078,2.98835,2.31348,0.00998084,0.00332695,0.00998084,0.00332695,0.00998084,0.00332695,0.00998084,0.00332695
2,249.034,1.62231,2.61701,1.77789,0.40162,0.25432,0.21881,0.10675,2.03382,2.85063,2.37375,0.019783,0.00659434,0.019783,0.00659434,0.019783,0.00659434,0.019783,0.00659434
3,353.462,1.69489,2.75762,1.85871,0.44752,0.13684,0.11198,0.0485,2.12279,3.67272,2.50554,0.0293872,0.00979574,0.0293872,0.00979574,0.0293872,0.00979574,0.0293872,0.00979574
4,457.034,1.7339,2.87607,1.89493,0.33165,0.21944,0.18206,0.09121,2.09855,3.24216,2.38985,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,559.632,1.70607,2.62756,1.85627,0.51519,0.20861,0.23736,0.11876,2.01291,2.81899,2.29646,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,661.059,1.66572,2.43467,1.82137,0.50596,0.29983,0.31014,0.15849,2.01256,2.48643,2.32988,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,767.274,1.62302,2.25844,1.79551,0.50833,0.28462,0.31916,0.15142,2.02585,2.48613,2.31546,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,871.191,1.59082,2.11548,1.75672,0.47325,0.37663,0.37529,0.17862,1.95951,2.26607,2.22563,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,974.771,1.56641,1.99544,1.73472,0.54998,0.40075,0.43748,0.23588,1.93531,2.13567,2.2301,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1079.35,1.5365,1.88869,1.70536,0.52841,0.38474,0.41481,0.20725,1.97161,2.02185,2.24669,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1182.02,1.51772,1.79734,1.69129,0.45585,0.45222,0.42347,0.20953,1.93947,2.1145,2.2071,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1294.62,1.49463,1.70467,1.66838,0.57103,0.40501,0.43811,0.22679,1.92526,2.00347,2.20528,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1418.71,1.4637,1.65111,1.64603,0.50279,0.45559,0.46685,0.25079,1.881,1.90406,2.17633,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1559.61,1.44441,1.58033,1.63438,0.59476,0.42904,0.49503,0.25553,1.88058,1.85288,2.18754,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1670.94,1.42326,1.53013,1.61636,0.51799,0.43862,0.47479,0.24699,1.8729,1.84635,2.17417,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1799.4,1.40936,1.4791,1.60079,0.57308,0.47209,0.50233,0.27168,1.83845,1.77787,2.14876,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
