epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,80.9152,1.53461,4.88152,1.81536,0.68934,0.05104,0.03723,0.01772,1.95,4.09374,2.40207,0.00998084,0.00332695,0.00998084,0.00332695,0.00998084,0.00332695,0.00998084,0.00332695
2,151.684,1.65312,3.80684,1.9042,0.42617,0.13221,0.10978,0.05142,2.00038,3.34757,2.45107,0.019783,0.00659434,0.019783,0.00659434,0.019783,0.00659434,0.019783,0.00659434
3,218.49,1.69515,3.46685,1.92637,0.35845,0.12517,0.10235,0.04961,2.03618,3.52064,2.47144,0.0293872,0.00979574,0.0293872,0.00979574,0.0293872,0.00979574,0.0293872,0.00979574
4,285.385,1.69688,3.32412,1.90981,0.38899,0.17995,0.13182,0.06105,2.00995,3.28636,2.43078,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,351.822,1.67148,3.04962,1.86838,0.51184,0.20143,0.20152,0.09531,2.02521,3.1134,2.3385,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,417.661,1.64141,2.82537,1.84109,0.34816,0.29111,0.25271,0.13062,1.91739,2.89849,2.27485,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,483.473,1.61674,2.62792,1.82372,0.43571,0.29016,0.27903,0.14479,1.98943,2.73762,2.35123,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,549.128,1.59436,2.48149,1.79504,0.41913,0.36083,0.32063,0.16792,1.93333,2.56964,2.26142,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,615.57,1.57833,2.356,1.78287,0.51642,0.29444,0.31929,0.15841,1.90202,2.43313,2.23895,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,682.114,1.56167,2.23611,1.76141,0.46237,0.35353,0.35306,0.17772,1.91255,2.42852,2.2629,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,748.288,1.54794,2.14583,1.74889,0.43932,0.3643,0.38237,0.19453,1.87736,2.31774,2.23951,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,820.379,1.54279,2.05525,1.73726,0.40546,0.38439,0.37602,0.19425,1.92779,2.26914,2.23387,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,897.124,1.51777,1.99413,1.72169,0.45193,0.3642,0.38094,0.19855,1.90195,2.30225,2.22289,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,979.091,1.51028,1.9393,1.71729,0.51055,0.36075,0.40137,0.20375,1.90409,2.2249,2.23822,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1046.8,1.4994,1.89669,1.70745,0.51106,0.37285,0.4201,0.21574,1.88653,2.20632,2.23407,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1122.99,1.49192,1.85656,1.69703,0.48623,0.44315,0.43656,0.22545,1.88883,2.09453,2.20479,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1198.57,1.47689,1.79993,1.68645,0.52659,0.40807,0.43672,0.22854,1.86226,2.04597,2.22561,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1268.41,1.4584,1.75567,1.67788,0.52187,0.40665,0.43662,0.22194,1.90964,2.10286,2.23395,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1346.68,1.44674,1.71938,1.66642,0.50645,0.40449,0.4326,0.2254,1.89273,2.10442,2.23749,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1433.69,1.43543,1.68584,1.65431,0.51729,0.39849,0.44437,0.23367,1.87921,2.0679,2.24773,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1522.2,1.42341,1.652,1.64883,0.56927,0.4356,0.47446,0.2427,1.8736,1.97759,2.20508,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1592.95,1.42352,1.62128,1.64227,0.52593,0.43813,0.48165,0.25123,1.8744,1.96545,2.2194,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1673.3,1.40441,1.5732,1.62995,0.53658,0.44782,0.45943,0.2353,1.86376,1.99065,2.21262,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1760.3,1.4013,1.56047,1.62222,0.55929,0.42787,0.47224,0.24176,1.88189,1.99182,2.22853,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1847.71,1.3849,1.52108,1.60949,0.56841,0.44117,0.48261,0.25147,1.85379,1.98843,2.19464,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1932.81,1.37741,1.50172,1.60348,0.55584,0.46883,0.48812,0.2533,1.85686,1.97469,2.2064,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2019.45,1.36353,1.48265,1.59218,0.52674,0.49667,0.50671,0.26983,1.84992,1.96576,2.20153,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2092.39,1.35258,1.45045,1.58498,0.55435,0.45186,0.48661,0.2524,1.84716,1.91381,2.21347,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2162.19,1.3453,1.44205,1.58093,0.56906,0.46573,0.50347,0.2653,1.83338,1.93936,2.19629,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2233.86,1.32712,1.39988,1.56434,0.6099,0.45314,0.48278,0.25429,1.84733,1.89802,2.18793,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,2319.88,1.32691,1.39826,1.56388,0.60328,0.43048,0.49876,0.26627,1.83362,1.8647,2.19475,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
