epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.1503,1.55836,5.04743,1.83979,0.67969,0.02389,0.01833,0.01069,1.76991,4.36327,2.22134,2.69483e-05,2.69483e-05,2.69483e-05
2,123.73,1.54597,4.41483,1.8221,0.57141,0.08845,0.07938,0.04052,1.86758,3.63592,2.28895,5.28801e-05,5.28801e-05,5.28801e-05
3,183.502,1.5928,3.79713,1.85122,0.474,0.1691,0.14073,0.06994,1.91103,3.18157,2.33057,7.77427e-05,7.77427e-05,7.77427e-05
4,243.272,1.58017,3.38664,1.84558,0.39825,0.24109,0.20122,0.09821,1.88889,2.82344,2.31289,7.61886e-05,7.61886e-05,7.61886e-05
5,303,1.56621,3.0975,1.83043,0.45944,0.24855,0.23469,0.11661,1.87672,2.68493,2.29976,7.45848e-05,7.45848e-05,7.45848e-05
6,362.641,1.54813,2.89776,1.81696,0.43261,0.29959,0.29627,0.15292,1.85735,2.5667,2.28726,7.2981e-05,7.2981e-05,7.2981e-05
7,422.335,1.53459,2.69473,1.79347,0.43069,0.31912,0.30034,0.14731,1.87348,2.49656,2.29507,7.13772e-05,7.13772e-05,7.13772e-05
8,482.12,1.51853,2.56003,1.77942,0.46262,0.3492,0.34976,0.18038,1.8532,2.33747,2.24548,6.97734e-05,6.97734e-05,6.97734e-05
9,541.695,1.49607,2.46272,1.76017,0.49621,0.3366,0.35268,0.18042,1.84951,2.34624,2.25581,6.81696e-05,6.81696e-05,6.81696e-05
10,601.622,1.48447,2.36587,1.75242,0.43805,0.39123,0.38105,0.19498,1.8605,2.30669,2.25912,6.65658e-05,6.65658e-05,6.65658e-05
11,661.341,1.4811,2.26803,1.73645,0.51406,0.33995,0.37971,0.19557,1.84859,2.24858,2.24244,6.4962e-05,6.4962e-05,6.4962e-05
12,721.11,1.47377,2.20895,1.73132,0.51944,0.36764,0.40697,0.21382,1.84148,2.19493,2.22023,6.33582e-05,6.33582e-05,6.33582e-05
13,780.829,1.45281,2.14667,1.71404,0.52604,0.37235,0.40513,0.20957,1.84551,2.18254,2.23964,6.17544e-05,6.17544e-05,6.17544e-05
14,840.427,1.44693,2.09133,1.70332,0.53675,0.36926,0.43893,0.23185,1.84458,2.11105,2.24492,6.01506e-05,6.01506e-05,6.01506e-05
15,899.934,1.44043,2.0347,1.69756,0.533,0.39378,0.42544,0.22908,1.84078,2.14263,2.22906,5.85468e-05,5.85468e-05,5.85468e-05
16,959.82,1.42645,1.97932,1.68313,0.59223,0.37718,0.4437,0.23328,1.83468,2.0901,2.21661,5.6943e-05,5.6943e-05,5.6943e-05
17,1019.7,1.40848,1.93096,1.66734,0.51807,0.42819,0.44045,0.23402,1.83403,2.0856,2.19853,5.53392e-05,5.53392e-05,5.53392e-05
18,1079.41,1.40122,1.89969,1.66033,0.5817,0.38597,0.46446,0.24435,1.82703,2.04071,2.21146,5.37354e-05,5.37354e-05,5.37354e-05
19,1139.18,1.40246,1.87199,1.66432,0.59505,0.3942,0.45603,0.23906,1.83036,2.04079,2.21223,5.21316e-05,5.21316e-05,5.21316e-05
20,1198.95,1.39321,1.85246,1.65402,0.61459,0.38773,0.46666,0.24467,1.82577,2.02006,2.21512,5.05278e-05,5.05278e-05,5.05278e-05
21,1258.56,1.37418,1.79933,1.63713,0.52704,0.43388,0.46739,0.24769,1.81365,1.99412,2.20191,4.8924e-05,4.8924e-05,4.8924e-05
22,1318.52,1.37741,1.7916,1.63929,0.53869,0.42091,0.46804,0.24865,1.81176,1.96423,2.18905,4.73202e-05,4.73202e-05,4.73202e-05
23,1378.33,1.36982,1.74168,1.63067,0.58543,0.39968,0.45172,0.24019,1.81042,2.00778,2.18568,4.57164e-05,4.57164e-05,4.57164e-05
24,1438.09,1.35446,1.72645,1.62033,0.53256,0.45866,0.48791,0.25954,1.8104,1.9553,2.18724,4.41126e-05,4.41126e-05,4.41126e-05
25,1497.86,1.35394,1.69057,1.61472,0.54892,0.46944,0.4912,0.26668,1.80171,1.96098,2.18685,4.25088e-05,4.25088e-05,4.25088e-05
26,1557.33,1.35061,1.68324,1.61201,0.49032,0.45924,0.46252,0.24652,1.82597,1.98005,2.19347,4.0905e-05,4.0905e-05,4.0905e-05
27,1616.87,1.33595,1.65598,1.60415,0.55173,0.45013,0.48648,0.25671,1.81342,1.9324,2.19143,3.93012e-05,3.93012e-05,3.93012e-05
28,1676.79,1.32777,1.62357,1.59508,0.54767,0.4463,0.48437,0.25524,1.8077,1.92002,2.19145,3.76974e-05,3.76974e-05,3.76974e-05
29,1736.45,1.3222,1.61878,1.59634,0.5346,0.47531,0.49051,0.26203,1.81001,1.9383,2.19531,3.60936e-05,3.60936e-05,3.60936e-05
30,1796.12,1.32379,1.60929,1.59501,0.55704,0.4508,0.48776,0.26107,1.81359,1.92052,2.2006,3.44898e-05,3.44898e-05,3.44898e-05
31,1855.73,1.31777,1.58414,1.58883,0.57509,0.42586,0.49499,0.26737,1.82114,1.9206,2.19782,3.2886e-05,3.2886e-05,3.2886e-05
32,1915.45,1.30972,1.56456,1.5821,0.56824,0.4589,0.50568,0.27293,1.81359,1.905,2.1902,3.12822e-05,3.12822e-05,3.12822e-05
33,1975.55,1.30747,1.54991,1.57774,0.61723,0.41375,0.4962,0.26511,1.80802,1.88965,2.18465,2.96784e-05,2.96784e-05,2.96784e-05
34,2035.05,1.30358,1.53861,1.5745,0.5799,0.45304,0.49383,0.26558,1.79996,1.88996,2.18203,2.80746e-05,2.80746e-05,2.80746e-05
35,2094.22,1.28556,1.5101,1.56085,0.58114,0.44628,0.49834,0.26941,1.80307,1.87736,2.19219,2.64708e-05,2.64708e-05,2.64708e-05
36,2153.38,1.27977,1.50865,1.56185,0.56507,0.46235,0.50091,0.27464,1.80287,1.85658,2.19306,2.4867e-05,2.4867e-05,2.4867e-05
37,2212.45,1.28562,1.50184,1.56185,0.56509,0.467,0.5023,0.26664,1.80283,1.86082,2.19493,2.32632e-05,2.32632e-05,2.32632e-05
38,2271.7,1.26699,1.48861,1.54686,0.54877,0.47406,0.49564,0.26681,1.80593,1.87566,2.19159,2.16594e-05,2.16594e-05,2.16594e-05
39,2330.85,1.27514,1.47933,1.55465,0.57185,0.46518,0.49122,0.26097,1.80356,1.8635,2.19475,2.00556e-05,2.00556e-05,2.00556e-05
40,2390.41,1.26972,1.46499,1.54961,0.54774,0.45923,0.49523,0.26633,1.79721,1.84843,2.18698,1.84518e-05,1.84518e-05,1.84518e-05
41,2455.74,1.25597,1.4124,1.6739,0.58169,0.45479,0.50727,0.27276,1.81191,1.84429,2.1933,1.6848e-05,1.6848e-05,1.6848e-05
42,2514.72,1.24212,1.36749,1.67443,0.59673,0.45464,0.49857,0.26867,1.79636,1.82655,2.17858,1.52442e-05,1.52442e-05,1.52442e-05
43,2574.12,1.21863,1.33567,1.65715,0.56663,0.48697,0.50213,0.26585,1.799,1.8393,2.18242,1.36404e-05,1.36404e-05,1.36404e-05
44,2633.18,1.21358,1.31269,1.64902,0.60932,0.44743,0.50991,0.26939,1.79785,1.83152,2.17939,1.20366e-05,1.20366e-05,1.20366e-05
45,2692.34,1.20781,1.30103,1.64157,0.59191,0.46445,0.50772,0.26966,1.78968,1.8092,2.17718,1.04328e-05,1.04328e-05,1.04328e-05
46,2751.83,1.19507,1.28625,1.63093,0.5872,0.46454,0.5008,0.2676,1.78388,1.82808,2.17402,8.829e-06,8.829e-06,8.829e-06
47,2811.58,1.19042,1.27505,1.62697,0.60299,0.46129,0.50828,0.26886,1.79016,1.82842,2.18106,7.2252e-06,7.2252e-06,7.2252e-06
48,2870.88,1.18529,1.26708,1.62171,0.58086,0.48199,0.50842,0.27162,1.78788,1.81876,2.17677,5.6214e-06,5.6214e-06,5.6214e-06
49,2929.9,1.17825,1.25362,1.62052,0.57633,0.47904,0.5054,0.26834,1.78614,1.82484,2.17813,4.0176e-06,4.0176e-06,4.0176e-06
50,2989.14,1.17527,1.2465,1.61955,0.57848,0.48293,0.51159,0.27246,1.78459,1.81707,2.17608,2.4138e-06,2.4138e-06,2.4138e-06
