YOLO26s summary (fused): 122 layers, 9,558,447 parameters, 0 gradients, 21.0 GFLOPs
                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95): 100% ━━━━━━━━━━━━ 313/313 8.8it/s 35.5s
                   all       5000      33949      0.957      0.883      0.939      0.712
           adzuki_bean        146        147      0.958      0.864      0.934      0.614
              allspice        131        133      0.974      0.917      0.943      0.803
              amaranth        133        136      0.961      0.898      0.959      0.762
               anchovy        154        157      0.953      0.906      0.947      0.656
                 apple        132        134      0.977      0.903      0.956      0.771
               apricot        144        144      0.984      0.826      0.918      0.651
             artichoke        138        139      0.929      0.878      0.931      0.744
       artichoke_heart        146        147      0.988      0.925      0.975      0.824
               arugula        144        145      0.957      0.855      0.896      0.674
             asparagus        153        154      0.977      0.929      0.977      0.671
               avocado        128        128      0.951      0.945      0.975      0.754
           avocado_oil        128        131       0.96      0.927      0.964      0.773
                 bacon        137        137      0.965      0.927      0.954      0.851
            baked_bean        140        143      0.967      0.874      0.937      0.702
          bamboo_shoot        134        134      0.975      0.948      0.983      0.791
                banana        142        142      0.979      0.859      0.931      0.696
                barley        147        149      0.943      0.826      0.892      0.615
                  beef        143        144      0.992      0.931      0.968      0.749
                  beet        146        146      0.951      0.842      0.909      0.657
              bergamot        153        155      0.976      0.903      0.956      0.655
                 bison        144        145      0.943      0.897      0.954       0.72
            black_bean        128        128      0.939      0.891      0.933      0.744
          black_cherry        142        142      0.977      0.879      0.917      0.651
          black_sapote        145        145      0.992      0.908      0.967      0.717
            blackberry        150        152       0.96      0.944      0.979      0.744
             blueberry        135        135      0.983      0.867      0.921      0.683
              bok_choy        139        140      0.965      0.921      0.955      0.721
           boysenberry        140        142      0.935      0.894      0.941      0.706
                 bread        137        138      0.977      0.929      0.966      0.849
            breadfruit        139        141       0.97      0.816      0.908      0.651
              broccoli        131        134      0.804      0.754      0.857       0.51
         broccoli_stem        150        151      0.909      0.854      0.939      0.673
       brussels_sprout        142        143      0.979      0.909      0.965      0.729
             buckwheat        138        138      0.952      0.872      0.941       0.69
               buffalo        134        137      0.965      0.883      0.965      0.778
                bulgur        148        149      0.923      0.832      0.902      0.667
                butter        145        146      0.976      0.925       0.96      0.848
               cabbage        144        146      0.937      0.932       0.97      0.744
       cannellini_bean        133        135      0.931      0.899      0.951      0.737
            canola_oil        143        145      0.983      0.945      0.977      0.856
                 caper        133        133      0.971       0.91      0.962      0.771
              cardamom        135        136      0.966      0.838      0.931      0.674
               caribou        129        132      0.973      0.833      0.907      0.608
                carrot        141        142      0.939      0.861      0.929        0.6
           cauliflower        148        148      0.986      0.946      0.962      0.699
              celeriac        139        139      0.836      0.813      0.867      0.607
                celery        141        143      0.806      0.756      0.856      0.641
           chard_stalk        150        151      0.912      0.755       0.86      0.598
                cheese        144        146      0.892      0.884      0.941       0.69
             cherimoya        138        139      0.994      0.892      0.934      0.705
                cherry        145        146      0.936      0.856      0.887      0.628
                  chia        152        152      0.977      0.809      0.909      0.682
               chicken        130        130      0.914      0.877      0.928      0.715
        chicken_breast        136        138      0.988      0.964       0.98      0.893
         chicken_thigh        138        138       0.91      0.879      0.944      0.722
              chickpea        132        132      0.925       0.84      0.908      0.683
          chili_pepper        128        129      0.992      0.925      0.977      0.844
           chili_sauce        138        141      0.992      0.912      0.963      0.777
                 chive        141        142      0.978      0.894      0.932       0.64
              cinnamon        140        144      0.969      0.874      0.938      0.741
                  clam        138        139      0.963      0.921      0.969       0.77
                 clove        143        143      0.968      0.916      0.962      0.774
               coconut        127        130      0.886      0.834      0.913      0.633
           coconut_oil        136        136      0.965      0.868      0.934      0.759
                   cod        138        139      0.966      0.835      0.874      0.599
                coffee        159        160      0.952      0.769      0.837      0.563
         collard_green        142        144       0.95      0.931      0.969      0.682
             coriander        146        147      0.987      0.837      0.906      0.706
                  corn        131        131      0.975      0.884       0.96      0.711
             corn_grit        157        157      0.965      0.873      0.931      0.688
              cornmeal        135        136       0.97      0.952      0.959      0.767
      couscouscucumber        139        139      0.985      0.947      0.974      0.777
                  crab        144        145      0.962      0.945       0.97      0.735
         cracked_wheat        142        143      0.981      0.881      0.943      0.702
             cranberry        143        145      0.985      0.902      0.958      0.725
              cucumber        133        134      0.986      0.851      0.912      0.726
                 cumin        155        155      0.933      0.858      0.926      0.749
                daikon        150        150      0.942      0.866      0.917      0.638
                  deer        138        138      0.918      0.855      0.934      0.669
          dragon_fruit        140        140      0.992      0.937      0.959      0.727
                  duck        147        151      0.974      0.881      0.952      0.592
